Tiempo [s]/	Frecuencia [Hz]	/	Intesidad [dB] 	/	Formante 1 [Hz]	/	Formante 2 [Hz]	/	Formante 3 [Hz]
2.7423    /	440.17         	/	63.74          	/	445.68         	/	1761.63        	/	2737.62        
2.7523    /	439.80         	/	63.74          	/	443.55         	/	1646.74        	/	2985.98        
2.7623    /	440.08         	/	63.71          	/	445.46         	/	1701.94        	/	2659.34        
2.7723    /	440.27         	/	63.69          	/	444.21         	/	1837.46        	/	3167.16        
2.7823    /	440.14         	/	63.79          	/	445.26         	/	1763.89        	/	3154.13        
2.7923    /	439.80         	/	63.81          	/	442.24         	/	1739.24        	/	2554.06        
2.8023    /	439.77         	/	63.73          	/	441.08         	/	1709.33        	/	2888.21        
2.8123    /	440.48         	/	63.79          	/	442.79         	/	1811.40        	/	3039.85        
2.8223    /	439.96         	/	63.81          	/	441.74         	/	1837.03        	/	3141.16        
2.8323    /	439.76         	/	63.74          	/	447.34         	/	1646.96        	/	2901.03        
2.8423    /	440.22         	/	63.72          	/	447.22         	/	1408.95        	/	2748.08        
2.8523    /	440.30         	/	63.75          	/	443.80         	/	1614.32        	/	2927.19        
2.8623    /	440.01         	/	63.77          	/	441.98         	/	1761.79        	/	2960.63        
2.8723    /	440.08         	/	63.74          	/	441.59         	/	2056.76        	/	2817.17        
2.8823    /	439.97         	/	63.80          	/	442.25         	/	2013.56        	/	3129.76        
2.8923    /	439.97         	/	63.90          	/	442.33         	/	2005.99        	/	3064.72        
2.9023    /	439.95         	/	63.92          	/	441.39         	/	2019.56        	/	2970.23        
2.9123    /	439.73         	/	63.86          	/	441.14         	/	1887.39        	/	2737.59        
2.9223    /	439.82         	/	63.70          	/	444.02         	/	1840.51        	/	3046.55        
2.9323    /	440.35         	/	63.63          	/	446.32         	/	1730.90        	/	2357.35        
2.9423    /	440.17         	/	63.70          	/	442.29         	/	1944.43        	/	2922.35        
2.9523    /	440.13         	/	63.77          	/	441.33         	/	1748.47        	/	2812.25        
2.9623    /	439.67         	/	63.78          	/	440.89         	/	1893.61        	/	2539.12        
2.9723    /	439.85         	/	63.75          	/	442.73         	/	1746.43        	/	2517.90        
2.9823    /	439.95         	/	63.70          	/	446.23         	/	1567.26        	/	2377.80        
2.9923    /	440.00         	/	63.64          	/	442.19         	/	1711.39        	/	2575.93        
3.0023    /	440.19         	/	63.68          	/	443.76         	/	1564.50        	/	2616.80        
3.0123    /	440.05         	/	63.76          	/	441.38         	/	1775.01        	/	2590.65        
3.0223    /	439.81         	/	63.76          	/	441.79         	/	1616.50        	/	2563.68        
3.0323    /	440.01         	/	63.68          	/	443.97         	/	1658.98        	/	2805.82        
3.0423    /	440.24         	/	63.62          	/	446.67         	/	1604.78        	/	2547.52        
3.0523    /	440.38         	/	63.67          	/	442.65         	/	1881.08        	/	2504.90        
3.0623    /	439.91         	/	63.72          	/	441.06         	/	1860.58        	/	3152.13        
3.0723    /	440.00         	/	63.75          	/	444.02         	/	1707.63        	/	2971.26        
3.0823    /	439.93         	/	63.78          	/	444.65         	/	1708.19        	/	3114.58        
3.0923    /	439.85         	/	63.83          	/	441.37         	/	1691.97        	/	2900.41        
3.1023    /	439.93         	/	63.85          	/	440.86         	/	1755.44        	/	2952.70        
3.1123    /	440.09         	/	63.78          	/	441.00         	/	1708.97        	/	3009.76        
3.1223    /	440.16         	/	63.76          	/	446.04         	/	1802.37        	/	3032.31        
3.1323    /	440.22         	/	63.82          	/	445.24         	/	1676.39        	/	2931.97        
3.1423    /	440.05         	/	63.79          	/	441.38         	/	1686.87        	/	2839.04        
3.1523    /	440.15         	/	63.75          	/	441.66         	/	1737.36        	/	2760.09        
3.1623    /	439.95         	/	63.78          	/	441.52         	/	1814.21        	/	2722.37        
3.1723    /	440.08         	/	63.71          	/	447.69         	/	1647.59        	/	2518.52        
3.1823    /	440.17         	/	63.68          	/	444.97         	/	1535.87        	/	2844.27        
3.1923    /	439.95         	/	63.72          	/	442.71         	/	1730.69        	/	2951.23        
3.2023    /	439.98         	/	63.73          	/	444.21         	/	1690.40        	/	2979.51        
3.2123    /	440.11         	/	63.75          	/	445.16         	/	1646.31        	/	2598.42        
3.2223    /	440.20         	/	63.75          	/	441.87         	/	1933.06        	/	2802.63        
3.2323    /	439.97         	/	63.66          	/	441.51         	/	1858.15        	/	2882.77        
