Time [s]  /	Frequency [Hz] 	/	Power [dB]     
0.1220    /	1765.62        	/	8.80           
0.1220    /	1785.16        	/	1.53           
0.1220    /	1804.69        	/	28.99          
0.1220    /	1824.22        	/	60.56          
0.1220    /	1843.75        	/	82.17          
0.1220    /	1863.28        	/	71.64          
0.1220    /	1882.81        	/	63.06          
0.1220    /	1902.34        	/	54.65          
0.1220    /	1921.88        	/	36.33          
0.1220    /	1941.41        	/	21.58          
0.1220    /	1960.94        	/	24.43          
0.1220    /	1980.47        	/	10.58          
0.1220    /	2000.00        	/	19.25          
0.1220    /	2019.53        	/	20.41          
0.1220    /	2039.06        	/	26.83          
0.1220    /	2058.59        	/	30.46          
0.1220    /	2078.12        	/	45.77          
0.1220    /	2097.66        	/	87.72          
0.1220    /	2117.19        	/	91.25          
0.1220    /	2136.72        	/	77.03          
0.1220    /	2156.25        	/	68.38          
0.1220    /	2175.78        	/	55.08          
0.1220    /	2195.31        	/	42.33          
0.1220    /	2214.84        	/	30.72          
0.1220    /	2234.38        	/	11.90          
0.1220    /	2253.91        	/	19.99          
0.1220    /	2273.44        	/	13.93          
0.1220    /	2292.97        	/	21.64          
0.1220    /	2312.50        	/	20.41          
0.1220    /	2332.03        	/	16.74          
0.1220    /	2351.56        	/	58.73          
0.1220    /	2371.09        	/	80.26          
0.1220    /	2390.62        	/	70.78          
0.1220    /	2410.16        	/	54.65          
0.1220    /	2429.69        	/	45.66          
0.1220    /	2449.22        	/	33.76          
0.1220    /	2468.75        	/	21.60          
0.1220    /	2488.28        	/	12.98          
0.1220    /	2507.81        	/	11.94          
0.1220    /	2527.34        	/	-2.70          
0.1220    /	2546.88        	/	0.40           
0.1220    /	2566.41        	/	12.18          
0.1220    /	2585.94        	/	16.87          
0.1220    /	2605.47        	/	27.12          
0.1220    /	2625.00        	/	57.29          
0.1220    /	2644.53        	/	59.72          
0.1220    /	2664.06        	/	47.30          
0.1220    /	2683.59        	/	37.20          
0.1220    /	2703.12        	/	28.36          
0.1220    /	2722.66        	/	18.93          
0.1220    /	2742.19        	/	18.07          
0.1220    /	2761.72        	/	3.72           
0.1220    /	2781.25        	/	4.60           
0.1220    /	2800.78        	/	1.15           
0.1220    /	2820.31        	/	5.64           
0.1220    /	2839.84        	/	12.77          
0.1220    /	2859.38        	/	8.05           
0.1220    /	2878.91        	/	40.23          
0.1220    /	2898.44        	/	60.49          
0.1220    /	2917.97        	/	52.65          
0.1220    /	2937.50        	/	43.29          
0.1220    /	2957.03        	/	37.70          
0.1220    /	2976.56        	/	30.37          
0.1220    /	2996.09        	/	24.63          
0.1220    /	3015.62        	/	17.89          
0.1220    /	3035.16        	/	5.41           
0.1220    /	3054.69        	/	-6.16          
0.1220    /	3074.22        	/	-2.69          
0.1220    /	3093.75        	/	-0.15          
0.1220    /	3113.28        	/	13.33          
0.1220    /	3132.81        	/	24.47          
0.1220    /	3152.34        	/	55.04          
0.1220    /	3171.88        	/	61.00          
0.1220    /	3191.41        	/	47.72          
0.1220    /	3210.94        	/	42.66          
0.1220    /	3230.47        	/	31.23          
0.1220    /	3250.00        	/	31.15          
0.1220    /	3269.53        	/	23.20          
0.1220    /	3289.06        	/	6.93           
0.1220    /	3308.59        	/	3.69           
0.1220    /	3328.12        	/	1.12           
0.1220    /	3347.66        	/	-0.30          
0.1220    /	3367.19        	/	13.45          
0.1220    /	3386.72        	/	16.76          
0.1220    /	3406.25        	/	17.72          
0.1220    /	3425.78        	/	47.42          
0.1220    /	3445.31        	/	45.44          
0.1220    /	3464.84        	/	30.79          
0.1220    /	3484.38        	/	2.47           
0.1220    /	3503.91        	/	-0.94          
0.1220    /	3523.44        	/	11.38          
0.1220    /	3542.97        	/	18.81          
0.1220    /	3562.50        	/	11.61          
0.1220    /	3582.03        	/	-1.02          
0.1220    /	3601.56        	/	2.57           
0.1220    /	3621.09        	/	9.45           
0.1220    /	3640.62        	/	10.80          
0.1220    /	3660.16        	/	19.50          
0.1220    /	3679.69        	/	54.94          
0.1220    /	3699.22        	/	56.21          
0.1220    /	3718.75        	/	43.32          
0.1220    /	3738.28        	/	38.59          
0.1220    /	3757.81        	/	33.68          
0.1220    /	3777.34        	/	30.85          
0.1220    /	3796.88        	/	26.15          
0.1220    /	3816.41        	/	21.51          
0.1220    /	3835.94        	/	11.01          
0.1220    /	3855.47        	/	-5.20          
0.1220    /	3875.00        	/	-7.28          
0.1220    /	3894.53        	/	-2.28          
0.1220    /	3914.06        	/	-1.79          
0.1220    /	3933.59        	/	26.16          
0.1220    /	3953.12        	/	39.57          
0.1220    /	3972.66        	/	20.28          
0.1291    /	7.81           	/	-25.68         
0.1291    /	27.34          	/	-14.72         
0.1291    /	46.88          	/	3.62           
0.1291    /	66.41          	/	15.74          
0.1291    /	85.94          	/	-0.04          
0.1291    /	105.47         	/	2.99           
0.1291    /	125.00         	/	-4.16          
0.1291    /	144.53         	/	-12.02         
0.1291    /	164.06         	/	-7.68          
0.1291    /	183.59         	/	6.24           
0.1291    /	203.12         	/	2.94           
0.1291    /	222.66         	/	1.21           
0.1291    /	242.19         	/	45.93          
0.1291    /	261.72         	/	78.90          
0.1291    /	281.25         	/	63.12          
0.1291    /	300.78         	/	5.18           
0.1291    /	320.31         	/	-9.57          
0.1291    /	339.84         	/	-10.26         
0.1291    /	359.38         	/	-0.05          
0.1291    /	378.91         	/	4.18           
0.1291    /	398.44         	/	2.41           
0.1291    /	417.97         	/	3.48           
0.1291    /	437.50         	/	1.76           
0.1291    /	457.03         	/	-0.20          
0.1291    /	476.56         	/	2.29           
0.1291    /	496.09         	/	14.43          
0.1291    /	515.62         	/	69.36          
0.1291    /	535.16         	/	79.49          
0.1291    /	554.69         	/	51.07          
0.1291    /	574.22         	/	14.06          
0.1291    /	593.75         	/	18.41          
0.1291    /	613.28         	/	2.70           
0.1291    /	632.81         	/	-7.10          
0.1291    /	652.34         	/	-1.60          
0.1291    /	671.88         	/	-2.61          
0.1291    /	691.41         	/	5.70           
0.1291    /	710.94         	/	5.41           
0.1291    /	730.47         	/	9.10           
0.1291    /	750.00         	/	12.80          
0.1291    /	769.53         	/	51.56          
0.1291    /	789.06         	/	78.85          
0.1291    /	808.59         	/	71.20          
0.1291    /	828.12         	/	49.85          
0.1291    /	847.66         	/	24.24          
0.1291    /	867.19         	/	17.24          
0.1291    /	886.72         	/	13.56          
0.1291    /	906.25         	/	5.90           
0.1291    /	925.78         	/	11.65          
0.1291    /	945.31         	/	7.53           
0.1291    /	964.84         	/	14.29          
0.1291    /	984.38         	/	10.43          
0.1291    /	1003.91        	/	34.25          
0.1291    /	1023.44        	/	46.83          
0.1291    /	1042.97        	/	86.39          
0.1291    /	1062.50        	/	96.48          
0.1291    /	1082.03        	/	83.39          
0.1291    /	1101.56        	/	64.30          
0.1291    /	1121.09        	/	37.01          
0.1291    /	1140.62        	/	30.46          
0.1291    /	1160.16        	/	18.90          
0.1291    /	1179.69        	/	25.86          
0.1291    /	1199.22        	/	21.63          
0.1291    /	1218.75        	/	21.46          
0.1291    /	1238.28        	/	12.41          
0.1291    /	1257.81        	/	34.77          
0.1291    /	1277.34        	/	46.15          
0.1291    /	1296.88        	/	80.70          
0.1291    /	1316.41        	/	105.89         
0.1291    /	1335.94        	/	100.05         
0.1291    /	1355.47        	/	84.70          
0.1291    /	1375.00        	/	66.14          
0.1291    /	1394.53        	/	45.10          
0.1291    /	1414.06        	/	31.93          
0.1291    /	1433.59        	/	26.77          
0.1291    /	1453.12        	/	18.16          
0.1291    /	1472.66        	/	16.62          
0.1291    /	1492.19        	/	20.54          
0.1291    /	1511.72        	/	17.31          
0.1291    /	1531.25        	/	31.33          
0.1291    /	1550.78        	/	38.72          
0.1291    /	1570.31        	/	66.60          
0.1291    /	1589.84        	/	73.40          
0.1291    /	1609.38        	/	63.94          
0.1291    /	1628.91        	/	53.23          
0.1291    /	1648.44        	/	42.77          
0.1291    /	1667.97        	/	34.74          
0.1291    /	1687.50        	/	18.44          
0.1291    /	1707.03        	/	19.87          
0.1291    /	1726.56        	/	10.59          
0.1291    /	1746.09        	/	-0.49          
0.1291    /	1765.62        	/	10.16          
0.1291    /	1785.16        	/	4.84           
0.1291    /	1804.69        	/	28.23          
0.1291    /	1824.22        	/	58.43          
0.1291    /	1843.75        	/	80.00          
0.1291    /	1863.28        	/	74.70          
0.1291    /	1882.81        	/	69.49          
0.1291    /	1902.34        	/	63.11          
0.1291    /	1921.88        	/	47.51          
0.1291    /	1941.41        	/	35.50          
0.1291    /	1960.94        	/	33.97          
0.1291    /	1980.47        	/	18.28          
0.1291    /	2000.00        	/	23.30          
0.1291    /	2019.53        	/	21.67          
0.1291    /	2039.06        	/	24.68          
0.1291    /	2058.59        	/	22.42          
0.1291    /	2078.12        	/	45.03          
0.1291    /	2097.66        	/	84.31          
0.1291    /	2117.19        	/	90.81          
0.1291    /	2136.72        	/	81.83          
0.1291    /	2156.25        	/	75.20          
0.1291    /	2175.78        	/	63.52          
0.1291    /	2195.31        	/	52.20          
0.1291    /	2214.84        	/	33.61          
0.1291    /	2234.38        	/	22.00          
0.1291    /	2253.91        	/	22.29          
0.1291    /	2273.44        	/	14.00          
0.1291    /	2292.97        	/	19.48          
0.1291    /	2312.50        	/	19.47          
0.1291    /	2332.03        	/	14.18          
0.1291    /	2351.56        	/	54.73          
0.1291    /	2371.09        	/	77.82          
0.1291    /	2390.62        	/	72.85          
0.1291    /	2410.16        	/	60.45          
0.1291    /	2429.69        	/	52.97          
0.1291    /	2449.22        	/	43.02          
0.1291    /	2468.75        	/	30.14          
0.1291    /	2488.28        	/	20.66          
0.1291    /	2507.81        	/	19.10          
0.1291    /	2527.34        	/	7.75           
0.1291    /	2546.88        	/	0.63           
0.1291    /	2566.41        	/	12.98          
0.1291    /	2585.94        	/	14.90          
0.1291    /	2605.47        	/	25.79          
0.1291    /	2625.00        	/	54.29          
0.1291    /	2644.53        	/	59.43          
0.1291    /	2664.06        	/	50.46          
0.1291    /	2683.59        	/	42.95          
0.1291    /	2703.12        	/	34.90          
0.1291    /	2722.66        	/	28.52          
0.1291    /	2742.19        	/	25.64          
0.1291    /	2761.72        	/	12.68          
0.1291    /	2781.25        	/	9.71           
0.1291    /	2800.78        	/	2.53           
0.1291    /	2820.31        	/	7.60           
0.1291    /	2839.84        	/	12.63          
0.1291    /	2859.38        	/	8.90           
0.1291    /	2878.91        	/	35.61          
0.1291    /	2898.44        	/	58.59          
0.1291    /	2917.97        	/	54.65          
0.1291    /	2937.50        	/	47.81          
0.1291    /	2957.03        	/	43.76          
0.1291    /	2976.56        	/	38.59          
0.1291    /	2996.09        	/	33.87          
0.1291    /	3015.62        	/	25.32          
0.1291    /	3035.16        	/	11.54          
0.1291    /	3054.69        	/	4.73           
0.1291    /	3074.22        	/	3.78           
0.1291    /	3093.75        	/	2.03           
0.1291    /	3113.28        	/	14.53          
0.1291    /	3132.81        	/	26.29          
0.1291    /	3152.34        	/	51.94          
